Jul.Day,YYYY/MM/DD,Wdy,IDR/USD
2456932,10/1/2014,Wed,12142
2456933,10/2/2014,Thu,12121
2456934,10/3/2014,Fri,12235
2456937,10/6/2014,Mon,12147
2456938,10/7/2014,Tue,12154
2456939,10/8/2014,Wed,12288
2456940,10/9/2014,Thu,12252
2456941,10/10/2014,Fri,12282
2456945,10/14/2014,Tue,12213
2456946,10/15/2014,Wed,12271
2456947,10/16/2014,Thu,12246
2456948,10/17/2014,Fri,12095
2456951,10/20/2014,Mon,11997
2456952,10/21/2014,Tue,12063
2456953,10/22/2014,Wed,12063
2456954,10/23/2014,Thu,12083
2456955,10/24/2014,Fri,12057
2456958,10/27/2014,Mon,12094
2456959,10/28/2014,Tue,12150
2456960,10/29/2014,Wed,12104
2456961,10/30/2014,Thu,12166
2456962,10/31/2014,Fri,12124
2456965,11/3/2014,Mon,12172
2456966,11/4/2014,Tue,12124
2456967,11/5/2014,Wed,12103
2456968,11/6/2014,Thu,12153
2456969,11/7/2014,Fri,12215
2456972,11/10/2014,Mon,12199
2456974,11/12/2014,Wed,12133
2456975,11/13/2014,Thu,12204
2456976,11/14/2014,Fri,12276
2456979,11/17/2014,Mon,12159
2456980,11/18/2014,Tue,12156
2456981,11/19/2014,Wed,12204
2456982,11/20/2014,Thu,12163
2456983,11/21/2014,Fri,12084
2456986,11/24/2014,Mon,12131
2456987,11/25/2014,Tue,12109
2456988,11/26/2014,Wed,12213
2456989,11/27/2014,Thu,12186
2456990,11/28/2014,Fri,12156
2456993,12/1/2014,Mon,12330
2456994,12/2/2014,Tue,12258
2456995,12/3/2014,Wed,12348
2456996,12/4/2014,Thu,12362
2456997,12/5/2014,Fri,12283
2457000,12/8/2014,Mon,12335
2457001,12/9/2014,Tue,12282
2457002,12/10/2014,Wed,12346
2457003,12/11/2014,Thu,12403
2457004,12/12/2014,Fri,12409
2457007,12/15/2014,Mon,12641
2457008,12/16/2014,Tue,12636
2457009,12/17/2014,Wed,12640
2457010,12/18/2014,Thu,12602
2457011,12/19/2014,Fri,12504
2457014,12/22/2014,Mon,12386
2457015,12/23/2014,Tue,12502
2457016,12/24/2014,Wed,12498
2457021,12/29/2014,Mon,12508
2457022,12/30/2014,Tue,12472
2457023,12/31/2014,Wed,12341
2457025,1/2/2015,Fri,12477
2457028,1/5/2015,Mon,12674
2457029,1/6/2015,Tue,12692
2457030,1/7/2015,Wed,12743
2457031,1/8/2015,Thu,12701
2457032,1/9/2015,Fri,12614
2457035,1/12/2015,Mon,12558
2457036,1/13/2015,Tue,12577
2457037,1/14/2015,Wed,12587
2457038,1/15/2015,Thu,12560
2457039,1/16/2015,Fri,12617
2457042,1/19/2015,Mon,12596
2457043,1/20/2015,Tue,12589
2457044,1/21/2015,Wed,12499
2457045,1/22/2015,Thu,12496
2457046,1/23/2015,Fri,12528
2457049,1/26/2015,Mon,12536
2457050,1/27/2015,Tue,12529
2457051,1/28/2015,Wed,12451
2457052,1/29/2015,Thu,12519
2457053,1/30/2015,Fri,12717
2457056,2/2/2015,Mon,12705
2457057,2/3/2015,Tue,12710
2457058,2/4/2015,Wed,12677
2457059,2/5/2015,Thu,12676
2457060,2/6/2015,Fri,12649
2457063,2/9/2015,Mon,12702
2457064,2/10/2015,Tue,12655
2457065,2/11/2015,Wed,12763
2457066,2/12/2015,Thu,12847
2457067,2/13/2015,Fri,12834
2457071,2/17/2015,Tue,12787
2457072,2/18/2015,Wed,12840
2457073,2/19/2015,Thu,12872
2457074,2/20/2015,Fri,12761
2457077,2/23/2015,Mon,12837
2457078,2/24/2015,Tue,12860
2457079,2/25/2015,Wed,12936
2457080,2/26/2015,Thu,12876
2457081,2/27/2015,Fri,12895
2457084,3/2/2015,Mon,12923
2457085,3/3/2015,Tue,12971
2457086,3/4/2015,Wed,12958
2457087,3/5/2015,Thu,13002
2457088,3/6/2015,Fri,13006
